Game,Game Time,Home Team,Away Team,Team,Moneyline,Devigged Probability,Opening Spread,Spread Price,Projected Total,Over Point,Over Price,Under Point,Under Price
Duke Blue Devils vs. North Carolina Tar Heels,Mar 14 07:00PM ET,Duke Blue Devils,North Carolina Tar Heels,North Carolina Tar Heels,269.99999999999994,0.25787965616045844,7.5,-110.0,152.5,152.5,-110.0,152.5,-110.0
Houston Cougars vs. BYU Cougars,Mar 14 07:00PM ET,Houston Cougars,BYU Cougars,BYU Cougars,260.0,0.26645768025078376,7.0,-109.0,136.0,136.0,-110.0,136.0,-110.0
Duke Blue Devils vs. North Carolina Tar Heels,Mar 14 07:00PM ET,Duke Blue Devils,North Carolina Tar Heels,Duke Blue Devils,-350.00000000000006,0.7421203438395415,-7.5,-110.0,152.5,152.5,-110.0,152.5,-110.0
Dayton Flyers vs. Saint Joseph's Hawks,Mar 14 07:30PM ET,Dayton Flyers,Saint Joseph's Hawks,Saint Joseph's Hawks,105.0,0.46492659053833607,2.0,-110.0,143.5,143.5,-110.0,143.5,-110.0
Miami (OH) RedHawks vs. Kent State Golden Flashes,Mar 14 07:30PM ET,Miami (OH) RedHawks,Kent State Golden Flashes,Kent State Golden Flashes,-175.0,0.6092362344582594,-3.5,-110.0,144.5,144.5,-110.0,144.5,-110.0
Miami (OH) RedHawks vs. Kent State Golden Flashes,Mar 14 07:30PM ET,Miami (OH) RedHawks,Kent State Golden Flashes,Miami (OH) RedHawks,145.0,0.39076376554174075,3.5,-110.0,144.5,144.5,-110.0,144.5,-110.0
Dayton Flyers vs. Saint Joseph's Hawks,Mar 14 07:30PM ET,Dayton Flyers,Saint Joseph's Hawks,Dayton Flyers,-127.99999999999999,0.5350734094616639,-2.0,-110.0,143.5,143.5,-110.0,143.5,-110.0
South Carolina St Bulldogs vs. North Carolina Central Eagles,Mar 14 08:00PM ET,South Carolina St Bulldogs,North Carolina Central Eagles,South Carolina St Bulldogs,-334.9999999999999,0.7402209614810391,-7.5,-110.0,147.0,147.0,-110.0,147.0,-109.0
South Carolina St Bulldogs vs. North Carolina Central Eagles,Mar 14 08:00PM ET,South Carolina St Bulldogs,North Carolina Central Eagles,North Carolina Central Eagles,269.99999999999994,0.2597790385189609,7.5,-110.0,147.0,147.0,-110.0,147.0,-109.0
Merrimack Warriors vs. Mt. St. Mary's Mountaineers,Mar 14 08:30PM ET,Merrimack Warriors,Mt. St. Mary's Mountaineers,Mt. St. Mary's Mountaineers,240.0,0.28228774999371536,6.5,-105.0,125.5,125.5,-110.0,125.5,-110.0
Merrimack Warriors vs. Mt. St. Mary's Mountaineers,Mar 14 08:30PM ET,Merrimack Warriors,Mt. St. Mary's Mountaineers,Merrimack Warriors,-296.49432534678436,0.7177122500062846,-6.5,-114.5,125.5,125.5,-110.0,125.5,-110.0
Jackson St Tigers vs. Bethune-Cookman Wildcats,Mar 14 08:30PM ET,Jackson St Tigers,Bethune-Cookman Wildcats,Bethune-Cookman Wildcats,157.99999999999997,0.37169956421430406,4.5,-115.0,143.0,143.0,-110.0,143.0,-110.0
Jackson St Tigers vs. Bethune-Cookman Wildcats,Mar 14 08:30PM ET,Jackson St Tigers,Bethune-Cookman Wildcats,Jackson St Tigers,-190.0,0.6283004357856959,-4.5,-105.0,143.0,143.0,-110.0,143.0,-110.0
UAB Blazers vs. East Carolina Pirates,Mar 14 09:00PM ET,UAB Blazers,East Carolina Pirates,East Carolina Pirates,179.99999999999997,0.34368493184958265,5.0,-110.0,152.0,152.0,-111.5,152.0,-110.0
UAB Blazers vs. East Carolina Pirates,Mar 14 09:00PM ET,UAB Blazers,East Carolina Pirates,UAB Blazers,-214.48012718600953,0.6563150681504174,-5.0,-110.0,152.0,152.0,-111.5,152.0,-110.0
UC San Diego Tritons vs. UC Santa Barbara Gauchos,Mar 14 09:00PM ET,UC San Diego Tritons,UC Santa Barbara Gauchos,UC San Diego Tritons,-664.9673202614379,0.8383198093362824,-11.25,-108.5,141.5,141.5,-110.0,141.5,-110.0
