Game,Game Time,Team,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge
Memphis Tigers vs. Colorado St Rams,Mar 21 02:00PM ET,Memphis Tigers,2,0.4595666224309713,1.5,-0.05966414679979798,1.9,3.0,1.0,0.0,4.3,0.4637662337662337,105,0.4675324675324675,-0.02403864428254676,0.061,0.38,0.4599999999999999,0.499815645853322,147,147.0,0.2,147.0,147.0,146.532353340237,146.78,0.4898347492,0.503729314,-0.03397477460952386,-0.020080209809523852
Duke Blue Devils vs. Mt. St. Mary's Mountaineers,Mar 21 02:50PM ET,Mt. St. Mary's Mountaineers,32,0.3219374541157705,32.0,-0.20187206969375332,0.4,,,31.3,30.8,0.009323479624073983,5836,0.016656356263283163,-0.00752269546568023,,,,0.0019906029848648,141,141.0,0.6,,,140.80834810595,140.01,0.4993203744,0.4942354009999999,-0.024489149409523847,-0.027295699478468938
Duke Blue Devils vs. Mt. St. Mary's Mountaineers,Mar 21 02:50PM ET,Duke Blue Devils,-32,0.6398890075181252,-32.0,0.11607948370860133,0.4,,,-31.3,-30.8,0.990676520375926,-18249,0.9833436437367169,-0.0038734840750684896,,,,0.998009397015135,141,141.0,0.6,,,140.80834810595,140.01,0.4993203744,0.4942354009999999,-0.024489149409523847,-0.027295699478468938
Saint Mary's Gaels vs. Vanderbilt Commodores,Mar 21 03:15PM ET,Saint Mary's Gaels,-5,0.5296985909052458,-4.5,0.011626301748619339,0.8,,-4.0,-5.5,-4.6,0.6546010170657584,-190,0.6301020408163266,-0.0005713967273450749,0.027,,0.66,0.69819998663038,136,135.5,1.4,,138.0,137.657186989426,135.5,0.5103586738,0.4832096357,-0.01345085000952384,-0.04059988810952386
Saint Mary's Gaels vs. Vanderbilt Commodores,Mar 21 03:15PM ET,Vanderbilt Commodores,5,0.4703014090947542,4.5,-0.05576494161614626,0.8,,4.0,5.5,4.6,0.34539898293424176,160,0.3698979591836735,-0.039216401681142876,0.027,,0.3399999999999999,0.30180001336962,136,135.5,1.4,,138.0,137.657186989426,135.5,0.5103586738,0.4832096357,-0.01345085000952384,-0.04059988810952386
Ole Miss Rebels vs. North Carolina Tar Heels,Mar 21 04:05PM ET,Ole Miss Rebels,1,0.5069002916117006,1.75,-0.016909232197823254,1.4,,-1.0,1.8,0.6,0.47296792525600545,110,0.4572564612326044,-0.0032225509344707137,0.073,,0.54,0.437358778558813,156,156.0,0.7,,155.0,155.92387713506,154.64999999999998,0.4809153201,0.5126910519,-0.04289420370952385,-0.011118471909523864
Ole Miss Rebels vs. North Carolina Tar Heels,Mar 21 04:05PM ET,North Carolina Tar Heels,-1,0.4460839476786983,-1.75,-0.07772557613082554,1.4,,1.0,-1.8,-0.6,0.5270320747439945,-130,0.5427435387673957,-0.03818531656035329,0.073,,0.4599999999999999,0.562641221441187,156,156.0,0.7,,155.0,155.92387713506,154.64999999999998,0.4809153201,0.5126910519,-0.04289420370952385,-0.011118471909523864
Maryland Terrapins vs. Grand Canyon Antelopes,Mar 21 04:35PM ET,Grand Canyon Antelopes,12,0.4419735764974124,10.5,-0.08183594731211141,3.0,12.2,14.0,9.4,16.5,0.15883248730964467,440,0.17766497461928932,-0.02635269787554051,0.053,0.14,0.0999999999999999,0.204378755906992,150,150.0,1.4,152.0,150.0,148.769656278144,150.78,0.4886113967,0.5049629976,-0.03519812710952386,-0.018846526209523873
Maryland Terrapins vs. Grand Canyon Antelopes,Mar 21 04:35PM ET,Maryland Terrapins,-12,0.5580264235025877,-10.5,0.03421689969306385,3.0,-12.2,-14.0,-9.4,-16.5,0.8411675126903553,-600,0.8223350253807106,-0.015975344452501816,0.053,0.86,0.9,0.795621244093008,150,150.0,1.4,152.0,150.0,148.769656278144,150.78,0.4886113967,0.5049629976,-0.03519812710952386,-0.018846526209523873
Florida Gators vs. Norfolk St Spartans,Mar 21 06:50PM ET,Florida Gators,-27,0.5350937099941269,-28.5,0.01586294076335759,4.8,,-25.0,-19.7,-29.2,0.9728908963752316,-11000,0.9687691201493437,-0.018100094615759343,0.018,,0.99,0.964025345202239,153,153.5,1.0,,153.0,151.863703378489,151.06,0.4750561782999999,0.518541985,-0.052130582929314495,-0.0018417080455634949
Florida Gators vs. Norfolk St Spartans,Mar 21 06:50PM ET,Norfolk St Spartans,27,0.4649062900058732,28.5,-0.06339559678657963,4.8,,25.0,19.7,29.2,0.027109103624768316,3030,0.031230879850656278,-0.004838158038517684,0.018,,0.01,0.0359746547977607,153,153.5,1.0,,153.0,151.863703378489,151.06,0.4750561782999999,0.518541985,-0.052130582929314495,-0.0018417080455634949
